contigName	contigLen	totalAvgDepth	0.bam	0.bam-var	1.bam	1.bam-var	2.bam	2.bam-var	3.bam	3.bam-var	4.bam	4.bam-var	5.bam	5.bam-var	6.bam	6.bam-var
contig_2372	57022	35.312	35.2913	56.8953	0	0	0	0	0	0	0	0	0.0207308	0.0203525	0	0
contig_2374	6387	15.2267	5.05499	1.73127	0	0	2.15681	7.29886	0.791085	2.03474	0	0	6.15248	1.80921	1.07135	0.486096
contig_2375	27313	13.9579	13.5579	4.76279	0	0	0	0	0	0	0.380444	6.38743	0	0	0.0195487	0.0763795
contig_2376	17400	15.2049	5.34985	3.67148	0.120638	0.106068	6.63084	7.31145	0	0	2.85345	3.60459	0.250087	0.228208	0	0
contig_2377	105391	10.5447	4.73868	6.90677	0.244496	0.377522	1.79799	1.97738	0.000893188	0.000891614	1.05147	1.069	2.70729	3.33597	0.00389582	0.00387625
contig_2378	11809	7.31452	4.07565	2.79424	0	0	1.65271	0.409569	0	0	0.12188	0.225101	1.46428	1.20153	0	0
contig_2379	17357	8.94764	3.80432	1.03346	0.126635	0.110604	1.52682	3.52597	0	0	0.286976	0.352367	3.20288	1.64902	0	0
contig_2380	77791	13.4051	5.43668	9.65218	1.04977	0.755801	2.1485	2.38174	0	0	0.577427	0.535363	4.19145	4.9751	0.00130086	0.0012988
contig_2382	62510	2.93392	2.93392	1.70237	0	0	0	0	0	0	0	0	0	0	0	0
contig_2383	15026	3.62167	3.62167	1.43407	0	0	0	0	0	0	0	0	0	0	0	0
contig_2384	16387	3.28657	3.06744	2.09132	0	0	0	0	0	0	0	0	0.219129	0.171141	0	0
contig_2385	143334	15.5726	8.20566	11.5858	0	0	0.639268	77.2091	0.0105389	0.0185609	0.088718	1.54143	6.61788	27.6943	0.010497	0.0146095
contig_2386	25787	65.9202	57.5838	247.003	0.0989585	0.342708	1.36081	49.9024	0.274096	3.70684	0.412412	1.98496	5.77107	224.343	0.419043	1.52313
contig_2387	30634	9.33247	7.60314	27.7821	0.10307	0.0924743	0.444692	1.00396	0.417432	3.583	0.150472	0.12784	0.510727	1.23383	0.102939	0.0922892
contig_2388	82695	59.9771	51.0512	78.9301	0.496541	0.740341	3.93093	11.7311	0.0373493	0.123464	2.16246	20.9292	2.14977	352.222	0.148767	1.47791
contig_2389	11659	29.5243	17.0922	46.2563	0.0567382	0.0762971	0.408202	3.39573	0.0265879	0.0258813	0.0794161	0.173236	11.7992	102.152	0.0619515	0.0581212
contig_239	174741	46.8124	16.5765	29.2501	0.927665	15.8283	8.80694	94.1558	1.07574	10.4538	2.91333	11.8734	15.1751	415.917	1.33704	10.2776
contig_2390	18231	6.03108	4.25972	5.49777	0	0	0.178087	0.301035	0.540014	2.04317	0.137492	0.462499	0.904209	10.0924	0.0115591	0.0114272
contig_2391	45647	114.503	2.2316	1.16449	0	0	78.2491	2972.79	5.2965	26.788	4.24393	9.07521	19.4817	185.463	4.99976	8.52768
contig_2392	23082	2.62389	2.62389	1.3406	0	0	0	0	0	0	0	0	0	0	0	0
contig_2393	42517	78.7574	2.83176	0.919093	2.43024	2.65276	32.0691	537.267	4.02438	12.6317	25.089	167.319	5.99179	7.6017	6.3211	19.0629
contig_2394	61380	17.328	7.37029	4.52591	0.044831	0.0427984	7.83186	381.516	0.310305	1.97924	0.139866	0.158724	0.21772	2.14227	1.41316	48.2211
contig_2395	9667	79.6444	3.95114	3.24307	4.37396	135.216	24.2523	2271.48	0	0	13.4792	460.829	29.4882	6771.57	4.09961	52.2734
contig_2396	2446	57.7335	2.66943	0.565598	0	0	7.59103	7.95148	0	0	36.0296	32.4419	0	0	11.4434	10.0234
contig_2397	16703	51.0864	8.29511	21.1424	2.40035	14.8492	16.8145	801.195	0.107594	0.0960372	7.3162	40.3429	0.486377	0.851121	15.6663	161.814
contig_2398	63985	191.616	43.0542	272.589	17.8775	182.562	37.6292	395.343	0.450881	0.619507	24.5949	133.66	0.409415	0.591523	67.6004	1220.72
contig_2399	4064	35.6671	5.14589	2.62605	19.7159	143.981	0	0	0	0	9.22841	36.4874	0.671436	1.20761	0.905468	3.90059
